tag,Stage 1,Stage 4
#asynchronous,2014-04-09,2015-10-08
#typedarray,2014-07-23,2015-11-17
#memory_management,2015-09-24,2017-02-09
#extensibility,2016-05-03,2017-10-12
#any_character,2016-11-30,2017-12-19
#performance,2016-07-27,2018-01-24
#promise,2016-02-02,2018-01-25
#destructuring,2014-10-29,2018-02-13
#parse,2017-09-27,2018-05-22
#strict_mode,2016-01-14,2018-11-28
#property,2017-07-26,2018-11-28
#iterator,2017-07-28,2019-01-29
#performance,2015-10-05,2019-03-26
#asynchronous,2018-09-27,2019-07-24
#arithmetic,2017-01-27,2019-09-30
#windowproxy,2015-11-19,2019-10-01
#access,2017-03-09,2019-12-06
#formatting,2016-04-29,2019-12-30
#default_value,2017-09-28,2020-01-21
#iterator,2019-05-25,2020-02-11
#performance,2017-11-29,2020-06-27
#performance,2018-03-25,2020-07-21
#asynchronous,2019-03-27,2020-07-21
#bigint,2017-05-27,2020-07-23
#iterator,2016-04-01,2020-12-16
#promises,2018-01-24,2021-05-25
#performance,2018-07-11,2021-06-10
#class,2020-04-01,2021-07-15
#class,2018-07-10,2021-08-31
#debug,2020-09-24,2021-10-26
#performance,2021-02-01,2022-06-06
#grammar,2018-03-21,2022-07-20
#tuples,2020-06-02,2023-01-30
#typedarray,2021-04-20,2023-03-05
#concurrency,2017-06-06,2023-05-15
#performance,2022-08-10,2023-05-15
#set,2021-01-28,2023-05-16
#iterator,2020-07-19,2023-10-24
#iterator,2021-07-15,2023-11-27
#error_handling,2023-03-24,2023-12-12
#helper,2019-01-31,2024-10-08
#security,2019-12-06,2024-10-08
#regex,2021-10-28,2024-10-08
#error_handling,2016-11-29,2024-10-09
#module_specifier,2019-12-06,2024-12-12
#string,2021-01-28,2025-02-18
